"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"智慧芽","高级业务分析师（大数据/人...","15k-25k","上海 ","经验3-5年","本科及以上","全职","大数据 | 商业 | BI | 可视化 | 数据分析","3天前  ","BI,业务分析,人工智能","岗位职责：1、基于对业务的深刻理解，搭建业务分析体系，向上提供策略支持，并推动策略落地执行2、搭建经营监控与异常分析体系，进行日常监控和专项分析，定位问题和原因，与业务沟通确定针对性策略，提供有效的风险评估。3、支持业务端需求，并逐渐转化成报表，满足业务方对数据需求。4、基于业务的需求掌控，梳理并转化需求，推动底层数据建设和流程完善5、负责企业内核心数据标准、数据规范、口径管理； 6、负责元数据管理、数据清洗等工作，必要时参与开发； 任职要求：1、出色的策略制定能力，能根据业务规律、竞争、团队等多方面因素制定业务发展策略；2、极强的推动力、跨组织协调能力；3、有新业务开发经验者优先；能独立完成项目者优先；4、能够搭建商业模型，掌握数据分析基本方法并熟练应用；5.较强的快速学习能力和逻辑思维能力；6.结果导向，富有激情和创业精神，把困难当做挑战而非瓶颈，能承受较大的工作压力；我们将提供：- 前沿的互联网大数据人工智能领军企业的成长机会；- 世界500强背景的管理团队乐于分享经验，帮助有理想、有热情的职场青年更上一层楼；- 以人为本的管理，舒适的外企办公环境；- 完善的员工保险和休假。额外，我们还将为您和您的孩子提供商业保险；- 丰富多彩的团建活动和各种健身比赛（如：桌球、乒乓球、狼人杀、打农药等）；- 工龄满4年的小伙伴，我们还会为您的父母每月发放1000元的赡养金。","上海-闸北区-天目西路-恒丰路568号恒汇国际大厦12F","2018-08-13 14:44:11"
"众安保险信息科技","高级产品经理（人工智能方向）","20k-30k","上海 ","经验3-5年","本科及以上","全职","产品设计 | 产品策划","09:23  ","前景广阔，团队大牛多，福利好","工作职责：","上海-黄浦区-北京东路130号中实大楼","2018-08-13 14:44:14"
"饿了么BDI大数据部","资深数据工程师／数据专家（...","18k-36k","上海 ","经验1-3年","硕士及以上","全职","NLP | 算法 | 数据挖掘 | 数据分析","2018-08-08  ","机器学习，人工智能领域大神等你一起来玩耍","职责描述：","上海-普陀区-长征-金沙江路1518弄近铁城市广场北座4楼401室","2018-08-13 14:44:17"
"普林科技研发中心","机器学习工程师（人工智能...","15k-30k","北京 ","经验不限","硕士及以上","全职","大数据 | 数据挖掘 | 数据分析","08:57  ","发展空间大,互联网产品","岗位职责：","北京-海淀区-中关村-北京市海淀区北四环西路67号中关村国际创新大厦602","2018-08-13 14:44:20"
"好德软件研发中心","AI智能聊天机器人开发/人...","15K-30K","杭州 ","经验3-5年","硕士及以上","全职","算法 | 数据挖掘","2018-07-31  ","高薪、分红、分股、硅谷公司、阿里系老板","岗位职责：","杭州-西湖区-西湖-古墩路707号杭州城市发展大厦1303室","2018-08-13 14:44:23"
"深圳市德迅大数据技术有限公司","量化策略工程师（人工智能...","20k-40k","深圳 ","经验5-10年","本科及以上","全职","大数据 | 金融","2018-08-08  ","人工智能,量化分析,福利好",,"深圳-南山区-白石洲-铜鼓路华润置地大厦E座38D","2018-08-13 14:44:26"
"金蝶","人工智能AI高级产品专家","30k-50k","深圳 ","经验5-10年","硕士及以上","全职","人工智能","3天前  ","薪酬福利好,发展前景好,大牛导师,工作环境好","岗位职责：","深圳-南山区-科技园-科技园科技南十二路2号金蝶软件园","2018-08-13 14:44:42"
"侠客岛里技术部","数据智能工程师（人工智能、...","10k-20k","成都 ","经验3-5年","本科及以上","全职","大数据 | 算法 | 数据挖掘","2018-08-08  ","周末双休,各种福利,五险一金","工作职责： ","成都-高新区-天府五街菁蓉国际广场6栋5楼","2018-08-13 14:44:45"
"智东西内容组","人工智能编辑记者实习生","2k-4k","北京 ","经验应届毕业生","本科及以上","实习","编辑 | 记者","09:49  ","公司牛人多,上升空间,人脉积累","智东西&车东西，影响苹果、华为、高通、英特尔、大众、BBA、博世等百万科技、汽车圈人士的产业媒体，招优秀记者和科技新媒体狂热者！欢迎应届牛人。","北京-海淀区-学院路-学清路学清嘉创大厦A座1301","2018-08-13 14:44:48"
"深古安地研发部","智能驾驶运动控制工程师","15k-20k","武汉 ","经验1-3年","本科及以上","全职",,"2018-08-09  ","福利多","职位描述：1.负责运动规划算法的设计、仿真、优化；2.负责基于车辆动力学的运动控制技术的难点攻关；3.负责路径跟踪控制效果的测试及评价；4.负责基于驾驶员操作数据进行路径规划的算法研究、开发及评价；5.负责基于人工智能的运动控制算法的前瞻研究职位要求：1.熟练掌握C++、Matlab，有Carmaker、MicroAutobox及其他相关仿真开发软硬件经验者优先；2.车辆工程、自动化等相关专业硕士及以上学历3.了解自动驾驶汽车决策系统及执行机构；4.对汽车动力学模型有较深的理解；5.有人工智能的知识背景或无人机、机器人、智能汽车开发经验者优先","武汉-洪山区-珞狮南路-街道口中部创意大厦","2018-08-13 14:44:53"
