"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"美团点评美团外卖技术部","自然语言处理、语音助手资...","25k-50k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习 | NLP | 算法","11:00  ","期权股票,15.5薪,六险一金,班车","岗位职责：1）负责对话系统的研究和开发；2）将对话系统的最新研究成果应用于外卖垂直领域，开发外卖语音交互解决方案；岗位要求：1）3年以上自然语言处理相关研发经验2）有扎实的自然语言处理和机器学习的技术基础3）有过对话管理相关技术、意图解析、对话生成、知识图谱等研发经验者优先4）有过深度学习研究经验者优先","北京-朝阳区-望京-望京国际研发园","2018-08-13 23:04:26"
"Bigo研发技术部-机器学习","高级语音算法工程师（深度...","40k-65k","北京 ","经验3-5年","硕士及以上","全职","人工智能 | 语音合成 | 算法","18:49  ","大牛同事,技术分享,技术深研,资源超多","岗位职责：","北京-海淀区-学院路-北京海淀区知春路7号致真大厦D座12层","2018-08-13 23:04:28"
"京东集团语音研发部","IOS/Android客户端开发 （...","15k-25k","北京 ","经验1-3年","本科及以上","全职","IOS | Android","2018-08-07  ","IOS,客户端,安卓","工作内容：","北京-朝阳区-亚运村-北辰世纪中心A座","2018-08-13 23:04:31"
"平安科技","深度学习语音算法工程师或...","15k-30k","上海 ","经验不限","硕士及以上","全职","机器学习 | 深度学习 | 算法","10:24  ","世界50强,带薪年假,节日福利,绩效丰厚",,"上海-浦东新区-东外滩-崂山路316号","2018-08-13 23:04:34"
"腾讯桌面浏览产品部","23048-翻译君语音合成算法...","18k-36k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 算法","11:11  ","大平台,新领域,大咖多",,"北京-海淀区-北京大学-第三极大厦","2018-08-13 23:04:37"
"问众智能","AI语音Android开发工程师-...","15k-30k","北京 ","经验3-5年","本科及以上","全职","汽车 | 移动互联网","2018-08-07  ","年底奖金,出门问问,下午水果,健身房","岗位职责：1.负责在Android平台开发语音相关的App，与车机其他功能做语音交互实现。定位与解决现有产品中存在的问题；2.负责产品定义的语音对话管理，语音解析，语音状态管理的android应用端的语音引擎开发；3.负责与车机系统中各个部件(BT Wifi等)的状态查询更新，与车机交互上的协议定义和解析等。","北京-海淀区-新中关购物中心写字楼A座7层","2018-08-13 23:04:40"
"斗鱼直播研发中心","主播运营（语音）","10k-20k","武汉 ","经验不限","大专及以上","全职","直播 | 运营","2018-08-04  ","知名平台,薪酬待遇佳,发展空间大","工作职责:职位描述：1.负责主播、公会、经纪公司的资源拓展、入驻对接，丰富直播样式；2.负责主播的日常管理，与公会、经纪公司关系的维护，形成良好的合作关系；3.制定能有效提升主播开播率、开播时长等核心数据的运营方案，并推动落地；4.定期收集主播的建议并生成文档反馈给产品经理，并推动合理建立的落地；5.时刻关注语音直播行业市场发展，做好对未来语音直播模式的探索。任职资格:岗位要求：1. 了解直播行业，有公会管理、主播对接的运营经验；2. 对语音直播有较深入的认知，并对语音、电台内容有较高的兴趣；3. 沟通能力强，有优秀的谈判技巧和团队协作能力；4. 熟悉直播和公会生态，了解主播和付费用户的核心诉求；5.一定的圈内资源和人脉，并能很好整合资源，商务谈判和执行力强，具有开拓精神。","武汉-洪山区-关山大道光谷软件园","2018-08-13 23:04:43"
"百度","资深产品经理（语音搜索）","30k-60k","北京 ","经验3-5年","本科及以上","全职","其他","2018-07-31  ","环境好,福利好,团队好,领导好","工作职责：    -负责语音搜索B端产品整体规划及落地推动    -包括对外的渠道、资源及联运协同扩展    职位要求：    -本科及以上学历，至少3年以上B端产品相关经验，在人工智能领域或搜索产品有工作经验者优先    -热爱互联网行业，了解互联网、移动互联网行业产品发展动态及竞争对手的最新动态，具有一定创新能力    -对移动场景下用户行为有深刻的认识，具备对用户需求良好的判断能力和严谨的逻辑思维能力    -具备丰富的产品设计、数据分析经验    -高效执行力，善于沟通/谈判、团队协作、资源整合    ","北京-海淀区-西北旺-百度科技园","2018-08-13 23:04:47"
"雷森信息科技技术部","英语语音数据转写与标注","3K-6K","南京 ","经验不限","本科及以上","兼职","大数据 | 商业 | 数据分析","11:10  ","原音发声，汇集全球各地口音发声，","语音数据人工转写与标注工作要求 ","南京-栖霞区--元化路南大科学园创业学院412室","2018-08-13 23:04:51"
"出门问问AI开放平台","SDK语音平台工程师-中国-0...","20k-40k","北京 ","经验3-5年","本科及以上","全职","人工智能 | 算法","2018-07-24  ","五险一金,年终奖,发展空间,团队氛围","岗位职责","北京-海淀区-中关村-大恒科技南座10层","2018-08-13 23:04:54"
"科大讯飞广州子公司产品部","产品经理（语音项目）","8k-15k","广州 ","经验1-3年","本科及以上","全职","用户研究","09:01  ","周末双休,待遇好,五险一金,有前途","【","广州-天河区-天河公园-建业路华翠街68号仙湖楼101B","2018-08-13 23:04:57"
"位置网运营商部","渠道销售专员（语音业务）","5k-10k","深圳 ","经验1-3年","大专及以上","全职","渠道 | 销售","2018-08-06  ","五险一金,双休、法定,绩效,不定期活动","1、负责公司语音产品转售合作及直客推广；","深圳-南山区-蛇口-南海大道1031号蛇口网谷万海大厦C座502","2018-08-13 23:05:00"
"Rokid技术部","语音前端测试工程师","10k-20k","杭州 ","经验1-3年","本科及以上","全职","测试","10:05  ","人工智能,股票期权,五险一金,弹性工作","工作内容：","杭州-西湖区-西溪路984号西溪创立方","2018-08-13 23:05:03"
"猎户星空语音产品","AI语音助手产品经理","20k-40k","北京 ","经验3-5年","本科及以上","全职","产品设计 | 产品策划","2018-08-06  ","绩效奖金,五险一金,发展空间大,餐补","职位描述：","北京-朝阳区-团结湖-北京市朝阳区工体北路甲二号盈科中心裙房办公楼1-4层","2018-08-13 23:05:16"
"欢聚时代（YY Inc）内容拓展部","产品经理（端游语音工具）","14k-28k","广州 ","经验1-3年","大专及以上","全职","社交 | 工具软件 | 客户端","2018-08-08  ","上市公司,平台广阔","岗位职责：","广州-番禺区-万博商务区万达广场B1座","2018-08-13 23:05:19"
"美团点评美团外卖技术部","自然语言处理、语音助手资...","25k-50k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习 | NLP | 算法","11:00  ","期权股票,15.5薪,六险一金,班车","岗位职责：1）负责对话系统的研究和开发；2）将对话系统的最新研究成果应用于外卖垂直领域，开发外卖语音交互解决方案；岗位要求：1）3年以上自然语言处理相关研发经验2）有扎实的自然语言处理和机器学习的技术基础3）有过对话管理相关技术、意图解析、对话生成、知识图谱等研发经验者优先4）有过深度学习研究经验者优先","北京-朝阳区-望京-望京国际研发园","2018-08-13 23:05:22"
"Bigo研发技术部-机器学习","高级语音算法工程师（深度...","40k-65k","北京 ","经验3-5年","硕士及以上","全职","人工智能 | 语音合成 | 算法","18:49  ","大牛同事,技术分享,技术深研,资源超多","岗位职责：","北京-海淀区-学院路-北京海淀区知春路7号致真大厦D座12层","2018-08-13 23:05:24"
"京东集团语音研发部","IOS/Android客户端开发 （...","15k-25k","北京 ","经验1-3年","本科及以上","全职","IOS | Android","2018-08-07  ","IOS,客户端,安卓","工作内容：","北京-朝阳区-亚运村-北辰世纪中心A座","2018-08-13 23:05:27"
"平安科技","深度学习语音算法工程师或...","15k-30k","上海 ","经验不限","硕士及以上","全职","机器学习 | 深度学习 | 算法","10:24  ","世界50强,带薪年假,节日福利,绩效丰厚",,"上海-浦东新区-东外滩-崂山路316号","2018-08-13 23:05:30"
"腾讯桌面浏览产品部","23048-翻译君语音合成算法...","18k-36k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 算法","11:11  ","大平台,新领域,大咖多",,"北京-海淀区-北京大学-第三极大厦","2018-08-13 23:05:33"
"问众智能","AI语音Android开发工程师-...","15k-30k","北京 ","经验3-5年","本科及以上","全职","汽车 | 移动互联网","2018-08-07  ","年底奖金,出门问问,下午水果,健身房","岗位职责：1.负责在Android平台开发语音相关的App，与车机其他功能做语音交互实现。定位与解决现有产品中存在的问题；2.负责产品定义的语音对话管理，语音解析，语音状态管理的android应用端的语音引擎开发；3.负责与车机系统中各个部件(BT Wifi等)的状态查询更新，与车机交互上的协议定义和解析等。","北京-海淀区-新中关购物中心写字楼A座7层","2018-08-13 23:05:36"
"斗鱼直播研发中心","主播运营（语音）","10k-20k","武汉 ","经验不限","大专及以上","全职","直播 | 运营","2018-08-04  ","知名平台,薪酬待遇佳,发展空间大","工作职责:职位描述：1.负责主播、公会、经纪公司的资源拓展、入驻对接，丰富直播样式；2.负责主播的日常管理，与公会、经纪公司关系的维护，形成良好的合作关系；3.制定能有效提升主播开播率、开播时长等核心数据的运营方案，并推动落地；4.定期收集主播的建议并生成文档反馈给产品经理，并推动合理建立的落地；5.时刻关注语音直播行业市场发展，做好对未来语音直播模式的探索。任职资格:岗位要求：1. 了解直播行业，有公会管理、主播对接的运营经验；2. 对语音直播有较深入的认知，并对语音、电台内容有较高的兴趣；3. 沟通能力强，有优秀的谈判技巧和团队协作能力；4. 熟悉直播和公会生态，了解主播和付费用户的核心诉求；5.一定的圈内资源和人脉，并能很好整合资源，商务谈判和执行力强，具有开拓精神。","武汉-洪山区-关山大道光谷软件园","2018-08-13 23:05:38"
"百度","资深产品经理（语音搜索）","30k-60k","北京 ","经验3-5年","本科及以上","全职","其他","2018-07-31  ","环境好,福利好,团队好,领导好","工作职责：    -负责语音搜索B端产品整体规划及落地推动    -包括对外的渠道、资源及联运协同扩展    职位要求：    -本科及以上学历，至少3年以上B端产品相关经验，在人工智能领域或搜索产品有工作经验者优先    -热爱互联网行业，了解互联网、移动互联网行业产品发展动态及竞争对手的最新动态，具有一定创新能力    -对移动场景下用户行为有深刻的认识，具备对用户需求良好的判断能力和严谨的逻辑思维能力    -具备丰富的产品设计、数据分析经验    -高效执行力，善于沟通/谈判、团队协作、资源整合    ","北京-海淀区-西北旺-百度科技园","2018-08-13 23:05:42"
"雷森信息科技技术部","英语语音数据转写与标注","3K-6K","南京 ","经验不限","本科及以上","兼职","大数据 | 商业 | 数据分析","11:10  ","原音发声，汇集全球各地口音发声，","语音数据人工转写与标注工作要求 ","南京-栖霞区--元化路南大科学园创业学院412室","2018-08-13 23:05:45"
"出门问问AI开放平台","SDK语音平台工程师-中国-0...","20k-40k","北京 ","经验3-5年","本科及以上","全职","人工智能 | 算法","2018-07-24  ","五险一金,年终奖,发展空间,团队氛围","岗位职责","北京-海淀区-中关村-大恒科技南座10层","2018-08-13 23:05:48"
"科大讯飞广州子公司产品部","产品经理（语音项目）","8k-15k","广州 ","经验1-3年","本科及以上","全职","用户研究","09:01  ","周末双休,待遇好,五险一金,有前途","【","广州-天河区-天河公园-建业路华翠街68号仙湖楼101B","2018-08-13 23:05:52"
"位置网运营商部","渠道销售专员（语音业务）","5k-10k","深圳 ","经验1-3年","大专及以上","全职","渠道 | 销售","2018-08-06  ","五险一金,双休、法定,绩效,不定期活动","1、负责公司语音产品转售合作及直客推广；","深圳-南山区-蛇口-南海大道1031号蛇口网谷万海大厦C座502","2018-08-13 23:05:55"
"Rokid技术部","语音前端测试工程师","10k-20k","杭州 ","经验1-3年","本科及以上","全职","测试","10:05  ","人工智能,股票期权,五险一金,弹性工作","工作内容：","杭州-西湖区-西溪路984号西溪创立方","2018-08-13 23:05:58"
"字节跳动","广告销售代表","6k-12k","金华 ","经验1年以下","学历不限","全职","销售","09:14  ","六险一金，弹性工作，餐补，带薪休假，扁平管理，过亿用户，晋升空间，团队氛围好，五险一金",,"金华-义乌市-金融8街88号福田银座A座13层","2018-08-13 23:06:13"
"wlaike","深度学习语音算法工程师","35k-70k","广州 ","经验3-5年","本科及以上","全职","人工智能 | 深度学习 | 语音识别 | 语音合成","09:47  ","技术大牛,超高薪酬,扁平管理,全球化业务","岗位职责：","广州-天河区-员村-羊城创意软件园101","2018-08-13 23:06:16"
"京东集团","风险策略分析师","15k-30k","北京 ","经验5-10年","本科及以上","全职","电商 | 金融 | 数据分析","10:26  ","五险一金,周末双休,班车上班,每日餐补","岗位职责： 负责京东商城恶交易风控识别及处理环节的策略数据分析、风险案分析及交易风控策略的设计、验证、监控、优化等一系列管理工作。1.根据公司业务发展以及风控能力提升的需要，规划风控系统策略管理的整体发展，推动系统策略管理工具的升级；2.充分理解业务风控需求，以数据分析为基础，制定与优化符合公司战略、业务诉求、客户体验的风控识别策略；3.承担交易风控策略识别数据监控、分析，通过异常数据的深度分析，及时发现潜在风险并向业务提出决策建议或策略调优；4.风险案件深度挖掘、分析，洞察风控用户下单行为特征，快速调整识别策略并推动风控产品升级迭代；5.通过策略分析流程梳理，推动搭建系统自动化分析工具，提升策略分析效率，快速响应与解决业务风控痛点。任职要求：1.计算机（机器学习、人工智能等方向）、数学、统计、信息技术、计量分析本科或硕士以上学历；2.两年或以上互联网、电商、零售或金融等行业，从事交易风控管理、数据分析等工作经验优先；3.熟练使用SQL，至少可以使用Python、R、SAS其中一款软件进行建模或数据分析；4.认同电商风控理念，拥有优秀的沟通能力和团队协作能力，强烈的责任感与自驱力，可独立并积极解决各种困难； 5.思维敏捷，能快速理解业务方意图，有丰富的数据分析、挖掘的经验，可快速响应业务、政策、产品迭代需求。","北京-大兴区-科创十一街经海路京东总部大厦","2018-08-13 23:06:19"
"Remark HoldingsR&D","机器视觉算法优化工程师","15k-25k","杭州 ","经验5-10年","本科及以上","全职","后端 | C++ | 人脸识别 | 算法","16:23  ","六险一金,年底双薪,年终绩效,多重福利","职位描述：","杭州-余杭区-仓前-仓前欧美金融城美国中心21F","2018-08-13 23:06:22"
"非常满意研发","人脸识别工程师","30k-50k","广州 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 计算机视觉","2018-08-08  ","五险一金,周末双休,股票激励,带薪年假","职责：","广州-天河区-五山-中山大道西89号天河软件园（华景园区）A栋9楼南908室","2018-08-13 23:06:25"
"喜马拉雅","语音数据运营","4k-6k","上海 ","经验不限","大专及以上","全职","运营","10:27  ","期权激励,扁平管理,公司大牛多","岗位职责：","上海-浦东新区-张江-祖冲之路899弄88号楼4楼","2018-08-13 23:06:28"
"迅雷直播部","直播-语音运营","15k-30k","深圳 ","经验3-5年","本科及以上","全职","运营","2018-08-09  ","大流量平台","岗位职责：","深圳-南山区-科技园科技中二路软件园二期11栋7楼","2018-08-13 23:06:31"
"拉勾网","客户经理","10k-20k","杭州 ","经验3-5年","大专及以上","全职","销售 | 顾问 | 商务","16:57  ","生日会，零食水果下午茶 ，爱心两餐","有些路  一个人无法走远  总得有人并肩作战 这就是我们需要你的原因","-余杭塘路515号矩阵国际6号楼307","2018-08-13 23:06:34"
"网易人工智能事业部","高级产品经理（语音助理）","20k-35k","杭州 ","经验3-5年","本科及以上","全职","智能硬件 | 产品设计 | 用户研究 | 智能硬件","3天前  ","行业前沿,追求极致,技术挑战大,发展空间大","岗位描述：","杭州-滨江区-秋溢路606号","2018-08-13 23:06:37"
"联想集团LR","人脸识别资深研究员","30k-50k","北京 ","经验5-10年","硕士及以上","全职","机器学习 | 深度学习 | 算法","3天前  ","带薪年假","Position Description:","北京-海淀区-西二旗-联想集团联想研究院","2018-08-13 23:06:40"
"第四范式推荐部","推荐算法工程师","25k-50k","北京 ","经验1-3年","本科及以上","全职","大数据 | 算法 | 搜索 | 数据挖掘","20:43  ","六险一金,周末双休,大牛云集,空间充足","工作地点：北京","北京-海淀区-上地-上地颐泉汇3层","2018-08-13 23:06:45"
"人人车","采购经理/高级采购经理","18k-35k","北京 ","经验5-10年","本科及以上","全职","总经理助理","14:57  ","带薪年假,年底奖金,不打卡,独角兽公司","工作职责:1、根据公司业务需求和策略方向，对供应商进行鉴定、资格认证、签约及开发；2、针对不同的业务类别制定不同的采购策略，识别风险并制定规避措施；3、主导进行采购招标/商务谈判工作，完成公司的成本控制目标；4、识别合作合同商务风险，有效控制合同风险；5、负责供应商管理，监测、跟踪、分析供应商的绩效表现，同时根据绩效表现作动态调整。任职资格:1、本科学历以上学历，5年以上工作经验，服务采购或非直接采购经验；2、全面的采购类流程建设经验，流程稽核或者审计经验，服务采购领域优先；3、良好的组织及多任务处理能力；4、良好的商务谈判能力，能承担压力，并按时完成工作；5、诚信正直、有责任心，逻辑清晰，主动进取。","北京-朝阳区-北苑-中国铁建广场B座","2018-08-13 23:06:48"
"四川长虹电器股份有限公司软件与服务中心","性能测试工程师","8k-16k","成都 ","经验1-3年","本科及以上","全职","测试 | 自动化 | 性能测试","16:34  ","五险一金,年终奖,项目奖,双休","岗位职责：","成都-高新区-天府四街长虹科技大厦","2018-08-13 23:06:51"
"时刻送人工智能研究院","人工智能 深度学习 机器学...","35k-70k","上海 ","经验不限","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 数据挖掘","2018-07-23  ","有股份期权,硕博大牛多,高提成,团队氛围好",,"上海-黄浦区-瑞金花园5号楼908","2018-08-13 23:06:54"
"企朋云片项目组","技术支持（云服务）","8k-15k","杭州 ","经验1-3年","学历不限","全职","IT技术支持","10:45  ","与最牛逼的工程师一起打造最好的企业服务","我们核心团队来自BAT，我们是增长最快的云服务公司之一，客户包括知乎、uber等国内外互联网公司。","杭州市市市-西湖区-西溪-紫霞街176号互联网创新创业园1号楼","2018-08-13 23:06:57"
