"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"优信集团产品部","高级产品经理（AI方向）","20k-30k","北京 ","经验不限","本科及以上","全职","汽车 | 移动互联网 | 用户研究","2018-07-24  ","平台好,领导好,福利好,氛围好","1. 负责交互产品设计、AI场景规划及建设，能够与人工智能相关技术结合","北京-朝阳区-望京-望京soho","2018-08-13 19:36:07"
"便利蜂","深度学习算法工程师(J10429)","25k-50k","北京 ","经验3-5年","本科及以上","全职","深度学习 | 图像处理 | 算法","3天前  ","发展空间","工作职责:1．负责图像算法研究和工程实现2、业务方向包括但不限于人脸识别、物品识别、检测与跟踪、行人跟踪与统计、人脸关键点检测、动作识别、图像中文描述3、 跟进图像识别落地产品全流程，包括图像数据集收集、图像识别模型建立、图像识别模型优化、落地的工程接口对接。4．负责跟踪行业前沿技术任职资格:1. 模式识别、自动化、计算机相关专业硕士及以上，3年以上相关经验。2. 熟练掌握C/C++，Python，基本熟悉shell脚本，能熟练在linux平台下做代码编译，调试，开发。3. 熟悉CNN,RNN/LSTM等基本深度学习算法。熟悉常用深度学习框架Caffe/Mxnet/TF中的一种，最好是有改各种框架代码的经验。4. 熟悉深度学习在图片分类，物体检测的常见框架思路，对近几年DL在图片分类，分割，物体检测的发展有较深的理解。","北京-朝阳区-太阳宫中路12号冠城大厦10层","2018-08-13 19:36:10"
"微油科技技术研发部","AI算法工程师","20k-30k","北京 ","经验不限","本科及以上","全职","人工智能 | 图像处理 | 算法","2018-08-08  ","五险一金,周末双休,节日福利,十三薪","岗位职责：","北京-朝阳区-北苑-朝阳区北苑东路19号院中国铁建广场2号楼22层微油科技","2018-08-13 19:36:14"
"人人行(借贷宝)技术研发部","Java开发工程师","25k-40k","北京 ","经验5-10年","本科及以上","全职","大数据 | Java | 算法 | 机器学习","2018-07-30  ","人工智能,技术领先,氛围积极,前景开阔","岗位职责：","北京-朝阳区-奥运村-安立路30号仰山公园东一门2号楼Linkface公司","2018-08-13 19:36:17"
"爱奇艺","图像算法资深工程师","20k-40k","北京 ","经验3-5年","本科及以上","全职","深度学习 | 图像处理 | 模式识别 | 算法","2018-07-23  ","地铁周边,大平台","职位描述：  1. 负责计算机视觉、深度学习相关算法的优化与前瞻研究以及产品化； 2. 利用深度学习，负责Camera实时图像中的人脸、手势、姿态检测标识以及跟踪等算法的设计、模型训练、算法优化；  职位要求：  1. 模式识别、图像处理、机器学习、计算机、电子、信息、通信等相关专业，或者有影响力作品或论文亦可； 2. 熟悉深度学习基本原理，熟悉至少一种常用的深度学习框架，熟悉模型的实现、训练及优化方法，有实际工程经验、移动平台优化经验者优先； 3. 在深度学习、计算机视觉方面有较深入的研究，具备良好的数学功底和算法分析、设计能力，较强的英文文献阅读能力； 4. 熟悉深度学习在计算机视觉识别中的应用（物体检测、跟踪、分割与识别等），参与过图像分类、目标跟踪、人脸识别、手势识别、人体姿态分析等方面研究课题或实际项目者优先； 5. 良好的算法和数据结构基础，熟练掌握C++、Python等开发语言和工具，能够在PC和移动平台开发高性能、实时运行的算法，具备将算法落地到产品的能力；","北京-海淀区-中关村-海淀北一街2号爱奇艺创新大厦","2018-08-13 19:36:20"
"SpeakIn","采购主管/经理","10k-20k","深圳 ","经验5-10年","本科及以上","全职","供应链管理 | 大数据 | 云计算","3天前  ","AI风口,公司重视,行业资源广,扁平文化","工作职责：","深圳-南山区-深圳软件园一期5栋209","2018-08-13 19:36:23"
"极链科技Video++产品部","资深AI产品经理","20k-40k","上海 ","经验5-10年","本科及以上","全职","大数据 | 云计算 | 需求分析 | 产品设计","3天前  ","福利健全,独角兽公司,福利年假,大牛团队","We Need You  ","上海-黄浦区-南外滩-中山南路幸福码头-6号楼","2018-08-13 19:36:26"
"美人信息软件技术部","计算机视觉工程师（人脸技...","10k-20k","广州 ","经验1-3年","本科及以上","全职","机器学习 | 计算机视觉 | 图像处理 | 模式识别","2018-08-06  ","扁平化管理、产品前景好、俊男美女多","岗位职责：","广州-越秀区-岭南-五羊新城寺右一马路18号泰恒大厦1308室","2018-08-13 19:36:29"
"人人行(借贷宝)商务部","商务拓展经理","10k-20k","北京 ","经验不限","本科及以上","全职","大数据 | 金融 | 商务拓展","2018-07-30  ","人工智能,技术领先,氛围积极,期权可谈","1. 对互联网产品有了解，有大客户成功案例优先，熟悉销售全过程，良好的内部沟通能力和独立解决问题的能力。","北京-朝阳区-奥运村-安立路30号仰山公园东一门2号楼Linkface公司","2018-08-13 19:36:43"
"深圳市智慧安防行业协会","智能算法工程师","15k-30k","杭州 ","经验1-3年","硕士及以上","全职","后端 | C++ | 图像处理 | 模式识别","2018-08-03  ","智能,深度学习,目标识别","智能算法工程师（负责视频和图像相关智能算法的调研、设计、开发和维护工作。）","杭州-滨江区-江南-滨江区滨安路1199号","2018-08-13 19:36:47"
"杭州速利科技有限公司软件部","安卓开发工程师","7K-10K","杭州 ","经验1-3年","本科及以上","全职","Android","2018-08-08  ","做五休二 年底双薪 创业公司 五险一金","1.负责Android客户端和基于安卓板的终端（闸机、门禁等）软件程序设计与开发；","杭州-江干区--越秀维多利中心B-7","2018-08-13 19:36:50"
"中科博宏研发中心","高级机器学习算法工程师","20k-30k","北京 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","2018-08-01  ","研究院,扁平管理,规划清晰","职位描述：","北京-朝阳区-安定路33号化信大厦A座1102室","2018-08-13 19:36:53"
"小米云平台","视觉算法工程师","25k-50k","北京 ","经验1-3年","硕士及以上","全职","计算机视觉 | 模式识别 | 算法","2018-07-31  ","餐补,班车,股票期权,年终奖","视觉算法工程师","北京-海淀区-西三旗-安宁庄东路7号融科融智蜂巢工场（清河医院北侧）","2018-08-13 19:36:55"
"讯铭算法技术部","深度学习图像算法","30K-60K","北京 ","经验3-5年","硕士及以上","全职","软件开发 | ERP","2018-07-23  ","六险一金，期权，出国旅游","1、负责图像理解、机器学习、深度学习等前沿技术、系统、产品的研发和实现。","北京-朝阳区--望京soho","2018-08-13 19:37:02"
"联想新视界","人工智能研发工程师","15k-30k","南昌 ","经验3-5年","硕士及以上","全职","机器学习 | 深度学习 | 计算机视觉 | 算法","2018-08-06  ","弹性工作制,五险一金,带薪年假,午餐补贴",,"南昌-新建县-红谷滩九龙湖VR产业基地绿地国博城一号楼九层","2018-08-13 19:37:05"
