"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"直真君智","算法工程师","8k-16k","无锡 ","经验3-5年","本科及以上","全职","大数据 | 算法 | 数据挖掘","08:39  ","团队氛围好,加班少,年度旅游","岗位职责：","无锡-滨湖区-蠡园-无锡滨湖区鸿桥路国际工业设计大厦A座2102室","2018-08-13 23:39:40"
"京东集团平台营销研发部","高级算法工程师岗","30k-60k","北京 ","经验5-10年","本科及以上","全职","机器学习 | 深度学习 | 搜索 | NLP","18:02  ","大牛多,环境好,班车接送,食堂丰富","【部门介绍】","北京-通州区-北京通州区科创十一街18号院","2018-08-13 23:39:44"
"凌扬盛达","算法工程师","20k-35k","深圳 ","经验1-3年","硕士及以上","全职","NLP | 算法 | 数据挖掘","16:20  ","福利多,技术氛围棒,大牛多,假期多","1、负责人工智能在公司业务上的应用，提供解决方案并进行开发；","深圳-南山区-大冲商务中心","2018-08-13 23:39:49"
"杉数科技算法部","算法研发工程师","20k-30k","北京 ","经验不限","本科及以上","全职","机器学习 | 深度学习 | 算法","09:41  ","领域大牛导师&精英团队 六险一金 快速成长","【岗位职责】","北京-东城区-和平里-歌华大厦A座1204","2018-08-13 23:39:57"
"众聚互娱众聚智能","算法工程师","20k-40k","广州 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 图像处理","08:55  ","深度学习,图像处理","岗位职责：","广州-天河区-石牌-中山大道西89号华景软件园A栋二楼202-203","2018-08-13 23:40:03"
"薄荷保研发部","算法工程师","15k-30k","北京 ","经验1-3年","本科及以上","全职","算法 | 数据挖掘 | 数据分析","2018-08-09  ","期权激励,年度奖金,7险1金,餐补团建等","职责：","北京-海淀区-西直门-方圆大厦优客工场2楼","2018-08-13 23:40:10"
"凌宇智控科技研发中心","算法工程师","20k-40k","北京 ","经验3-5年","硕士及以上","全职","地图 | 模式识别 | 算法","2018-08-09  ","上升空间大,团队氛围好,股票期权,领导好","岗位职责： ","北京-朝阳区-科荟前街1号院5号楼奥林佳泰大厦7层710","2018-08-13 23:40:15"
"云知声IoT","AI算法工程师J10079","20k-35k","北京 ","经验不限","硕士及以上","全职","算法","17:31  ","六险一金,年终多薪,人工智能,技术大牛","工作职责:1、负责主流深度学习框架的分析和比较，协助完成AI芯片架构优化及升级2、负责人工智能框架中间层的优化和移植3、负责AI框架的后端实现任职资格:1、硕士及以上学历，有深度学习（语音，图像处理）相关的工作经验2、善于沟通、责任心强，有强烈的自我驱动力3、精通C/C++语言编程4、熟悉机器学习算法，掌握常用的深度学习算法（CNN，LSTM，RNN等）5、熟悉Tensorflow, Caffe，MXNet等开源框架之一6、熟悉Shell/Perl/Tcl脚本编程7、有DSP代码优化，编译器设计经验者优先","北京-朝阳区-太阳宫-太阳宫中路16号院1号楼冠捷大厦12层","2018-08-13 23:40:20"
"纽曼","数据挖掘/算法工程师","40k-60k","北京 ","经验3-5年","本科及以上","全职","数据挖掘 | 算法","11:33  ","大平台,福利优厚","作职责：","北京-海淀区-远大路-a","2018-08-13 23:40:25"
"复华控股","算法开发工程师","15k-30k","北京 ","经验1-3年","本科及以上","全职","算法","10:46  ","绩效奖金,五险一金,通讯补贴,餐补",,"北京-朝阳区-团结湖-博瑞大厦","2018-08-13 23:40:30"
