"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"美团点评出行事业部","策略算法高级工程师- 智能...","25k-50k","北京 ","经验3-5年","本科及以上","全职","NLP | 算法 | 数据挖掘","14:16  ","15.5薪,弹性工作,发展空间,核心团队","岗位职责：","北京-朝阳区-望京-望京恒电大厦","2018-08-13 21:24:02"
"考拉阅读产品&研发部","自然语言NLP算法工程师","25k-50k","北京 ","经验不限","本科及以上","全职","NLP | 算法 | 数据挖掘","10:54  ","扁平管理,弹性工作,领导好,发展空间大","一、工作职责：","北京-海淀区-北京大学-中关村sohoA1519","2018-08-13 21:24:05"
"晨利商贸","自然语言处理","25K-50K","北京 ","经验不限","本科及以上","全职","NLP | 算法","2018-08-06  ","上市集团  一线互联网公司","1：熟悉深度学习，LSTM,CNN,RNN 结构与原理，熟悉Attention、memory机制","北京-海淀区-上地-上地","2018-08-13 21:24:08"
"国美金控智能投顾","高级NLP自然语言处理工程师","25k-35k","北京 ","经验5-10年","硕士及以上","全职","NLP | 人工智能","3天前  ","14薪,高学历团队","岗位职责：","北京-朝阳区-鹏润大厦","2018-08-13 21:24:12"
"逸途科技人工智能研究院","NLP工程师（中高级）","30k-50k","北京 ","经验3-5年","硕士及以上","全职","人工智能 | 搜索 | NLP | 模式识别","3天前  ","大牛多,环境好氛围,正能量,领导奈斯","岗位职责：","北京-朝阳区-酒仙桥-酒仙桥路4号宏源大厦19层","2018-08-13 21:24:15"
"爱云校知识库","自然语言处理工程师","15k-25k","北京 ","经验1-3年","本科及以上","全职","机器学习 | NLP","20:44  ","百度T11,技术大牛,12天年假,六险一金","职位描述：","北京-朝阳区-望京-望京sohoT1B座21层","2018-08-13 21:24:19"
"奇虎360金融","NLP算法工程师","30k-50k","北京 ","经验3-5年","硕士及以上","全职","大数据 | 人工智能 | 机器学习 | NLP | 算法","17:58  ","团队业绩突,CEO规划,团队大牛多","职位描述：","北京-朝阳区-北京市朝阳区酒仙桥路6号院（电子城•国际电子总部）2号楼B座","2018-08-13 21:24:23"
"沪江智能学习实验室（HILL）","资深自然语言处理研发工程...","25k-50k","上海 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | NLP","15:48  ","免费零食 技术大牛 上市前夜",,"上海-浦东新区-张江-浦东软件园博云路2号浦软大厦6-8楼","2018-08-13 21:24:28"
"莱博科技技术部门","NLP自然语言处理工程师","9k-18k","武汉 ","经验1-3年","本科及以上","全职","深度学习 | NLP","10:03  ","扁平化管理,五险一金,出国旅游,带薪年假","岗位职责：","武汉-东湖新技术开发区-创业街73号A栋3216","2018-08-13 21:24:34"
"环球易购技术中心","自然语言处理（NLP）","25k-50k","深圳 ","经验3-5年","本科及以上","全职","机器学习 | NLP | 算法 | 深度学习","12:29  ","上市大平台,阿里大牛,丰厚年终","岗位职责： ","深圳-南山区-深圳市南山区东滨路与南光路交汇处永新汇3号楼","2018-08-13 21:24:37"
"天润融通","自然语言处理研发工程师","15k-30k","北京 ","经验1-3年","本科及以上","全职","算法 | 机器学习","09:14  ","三板上市,五险一金,班车接送","职责描述：","北京-大兴区-亦庄-北工大软件园","2018-08-13 21:24:41"
"数美互联网事业部","NLP研发工程师","20k-40k","北京 ","经验1-3年","本科及以上","全职","大数据 | NLP | 数据挖掘","07:12  ","BAT团队,互联网氛围,七险一金","工作职责：","北京-朝阳区-来广营-望京诚盈中心","2018-08-13 21:24:45"
"北大方正信产集团","自然语言处理工程师（AI）","15k-30k","北京 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | NLP | 算法","2018-08-09  ","绩效奖金,免费下午茶,午餐补贴,通讯补贴","应用场景：1. 出版领域：针对人文社科类图书，提供全书自动缩写和摘要服务。2. 新媒体领域：研究机器自动生成稿件的关键技术，采用自然语言分析和机器学习技术，研究新闻类文章摘要，自动抽取关键内容信息，自动撰写综述类文章，广泛应用于财经、体育、文化类新闻内容的自动生成。职责描述：知识体系构建、文档信息处理方向的文本信息处理，算法设计，核心代码编写任职要求：1、硕士以上学历，计算机或者数学相关专业；2、掌握分词、词性标注、实体识别等基础技术，NLP方面至少1年工作经验；3、对机器学习方法有比较深入的理解,能够在NLP中灵活运用解决问题；4、熟悉Linux系统，具备较好的C、C++、java或python编程能力，有一定的代码开发经历，会使用Tensorflow等python系工具优先；5、肯于钻研，对解决难题富有激情。 ","北京-海淀区-中关村-成府路298号方正大厦","2018-08-13 21:24:48"
"泛微总部","自然语言处理工程师","25k-50k","上海 ","经验3-5年","硕士及以上","全职","大数据 | 人工智能 | 机器学习 | NLP","09:19  ","五险一金,员工旅游,生日福利,免费三餐","职位描述：","上海-闵行区-联航路1188弄浦江智谷33号楼","2018-08-13 21:25:03"
"考拉阅读产品&研发部","自然语言NLP算法工程师","25k-50k","北京 ","经验不限","本科及以上","全职","NLP | 算法 | 数据挖掘","10:54  ","扁平管理,弹性工作,领导好,发展空间大","一、工作职责：","北京-海淀区-北京大学-中关村sohoA1519","2018-08-13 21:25:08"
"百分点沈阳开发部","NLP算法工程师","5k-10k","沈阳 ","经验3-5年","硕士及以上","全职","软件开发","09:17  ","五险一金,弹性工作,员工活动,补充医疗","岗位职责：1、使用NLP和知识图谱等前沿技术，开发面向行业领域的自然语言解析与处理系统；2、使用NLP和知识图谱等前沿技术，开发面向行业领域的自动应答系统；3、 参与自然语言处理各模块（依存句法分析、语义理解、情感分析、机器翻译等）的优化与改进工作。任职要求：1、硕士以上学历，博士优先；2、熟悉Python；3、熟悉分词、命名实体识别、词性标注、文本分类、关键词提取、自动摘要等自然语言处理技术；4、熟悉机器学习主流模型，熟悉scikit-learn相关算法；5、熟悉N-Gram、PCFG、L-PCFG等；熟悉HMM、CRF、MaxEnt等；6、优秀的分析问题、解决问题能力和团队合作意识；7、熟悉scikit-learn包聚类和/或分类算法者优先；8、有深度学习、搜索引擎、推荐系统相关技术经验者优先；9、有知识图谱技术经验者优先；10、具有良好的沟通能力和协调能力，优秀的学习能力，具备良好的团队精神，能承受工作压力，富有进取心。","沈阳-沈河区-一经-青年大街市府恒隆广场办公楼","2018-08-13 21:25:11"
"虎博科技技术部","NLP自然语言处理高级工程师","25k-50k","上海 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | NLP","3天前  ","硅谷大牛,股权激励,绩效奖金,极客氛围","职位职责","上海-长宁区-愚园路753号E栋8楼","2018-08-13 21:25:14"
"逸途科技研发部","自然语言处理工程师","35k-55k","北京 ","经验不限","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | NLP","3天前  ","免费水果,免费健身,定期团建,五险一金","职位描述：","北京-朝阳区-酒仙桥-酒仙桥路4号宏源大厦","2018-08-13 21:25:18"
"经传多赢技术部","自然语言处理高级工程师","16k-32k","广州 ","经验1-3年","硕士及以上","全职","电商 | 金融 | 人工智能 | 机器学习 | NLP","08:28  ","扁平高效,快速晋升,项目质量高","岗位职责：","广州-番禺区-东环-节能科技园总部大厦2号楼19层","2018-08-13 21:25:20"
"尊嘉金控","自然语言处理工程师（NLP工...","20k-40k","北京 ","经验不限","本科及以上","全职","大数据 | 互联网金融 | 数据挖掘 | NLP | 机器学习 | 算法","3天前  ","技术氛围,行业前景好,团队棒,大牛多","岗位职责 :","北京-朝阳区-太阳宫-10号线太阳宫地铁太阳宫大厦","2018-08-13 21:25:23"
"足球魔方大数据部","自然语言处理工程师（NLP）","20k-40k","上海 ","经验3-5年","硕士及以上","全职","机器学习 | 深度学习 | NLP | 模式识别","13:07  ","技术大咖群,团队氛围好,福利多多多","工作职责：1.负责自然语言处理（NLP）的算法研究和工程实现；","上海-徐汇区-龙华-云锦路500号绿地汇中心A栋1713","2018-08-13 21:25:27"
"爱思助手研发部","自然语言处理工程师","30k-50k","深圳 ","经验3-5年","本科及以上","全职","人工智能 | 语音识别 | 语音合成","10:49  ","福利好,待遇优,产品佳,前景广",,"深圳-南山区-科技园-科技园中区科兴科学园A栋4单元709","2018-08-13 21:25:29"
"思必驰科技","自然语言处理工程师","20k-30k","北京 ","经验3-5年","本科及以上","全职","Python | 全栈 | 算法 | 机器学习","2018-08-06  ","AI 方向, 原阿里iDST语音负责人初敏带队","职位描述","北京-海淀区-双榆树-中关村南大街6号中电信息大厦914","2018-08-13 21:25:32"
"无秘","自然语言处理/NLP 工程师","25k-50k","深圳 ","经验3-5年","本科及以上","全职","大数据 | 机器学习 | NLP | 算法","10:31  ","快速成长,待遇丰厚,团队优秀","职位描述：","深圳-南山区-大族创新大厦A座","2018-08-13 21:25:35"
"阿博茨科技技术部","NLP自然语言处理专家/资深...","25k-50k","北京 ","经验1-3年","本科及以上","全职","算法","2018-08-02  ","弹性工作,六险一金,大牛云集,晋升空间大",,"北京-海淀区-学院路-768创意园a座","2018-08-13 21:25:38"
"主要是IT通讯及互联网行业业务研发部","自然语言处理","20k-40k","深圳 ","经验3-5年","硕士及以上","全职","NLP | 自然语言处理 | 算法","10:12  ","发展迅速，福利待遇佳","3年以上年自然语言处理、机器学习、数据挖掘相关工作经验；熟练掌握c++、linux后台开发技能；积极主动，勇于接受挑战，富有创新精神。","深圳-福田区-香蜜湖-南山","2018-08-13 21:25:40"
"国美金控智能投顾","NLP研发实习生","1k-2k","北京 ","经验应届毕业生","本科及以上","实习","人工智能 | NLP","3天前  ","高学历团队","岗位职责：","北京-朝阳区-鹏润大厦","2018-08-13 21:25:43"
"易鑫集团","NLP算法工程师(J12575)","15k-30k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习 | NLP | 算法","14:11  ","上市企业,五险一金,补充医疗","职位描述：负责商业智能领域语义分析相关技术和方法的研究 设计对话策略，开发基于检索式+生成式的多轮对话系统任职资格:1 本科以上学历, 自然语言处理，信息检索或机器学习方向2 精通分词、词性标注、实体识别、主题建模等算法，能根据短文本、弱标注等特点独立完成算法实现和优化3 精通MaxEnt, CRF，SVM等经典机器学习算法和工具，熟悉词向量、RNN, CNN和LSTM等模型实现与优化4 有基于Seq2Seq, EncoderDecoder和Memory Network等技术进行问答系统和对话系统开发经验者优先5 熟悉句法分析和信息抽取常用算法，有独立研发关系抽取、事件抽取工具的经验6 有较强逻辑思维能力和表达能力, 优秀的沟通能力及良好的编码风格","北京-海淀区-西直门-海淀区首体南路6号新世纪饭店写字楼","2018-08-13 21:25:46"
"泛微泛微总部","自然语言处理工程师","25k-50k","上海 ","经验3-5年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 大数据 | NLP","2天前  ","五险一金,员工旅游,生日福,免费三餐","职位描述：","上海-闵行区-浦江-联航路1188弄浦江智谷33号楼","2018-08-13 21:26:00"
"探迹研发部","NLP算法工程师","10k-20k","广州 ","经验1-3年","本科及以上","全职","机器学习 | NLP | 算法","09:39  ","大数据AI,扁平管理,五险一金,期权激励","工作职责：- 参与相关NLP算法产品的设计、开发及优化，包括关键词提取、文本分类、情感分析、语义分析、命名体识别、文本摘要和智能问答等；","广州-番禺区-大学城-数字家庭研发中心一期研发大厦","2018-08-13 21:26:04"
