"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"鲲云科技","深度学习算法工程师","15k-25k","深圳 ","经验应届毕业生","硕士及以上","全职","人工智能 | 深度学习 | 图像处理 | 算法","2018-08-07  ","大牛指导,进步快,培训,前景好","岗位描述：","深圳-福田区-益田村-福田保税区长富金茂大厦1109室","2018-08-13 17:15:50"
"行云智能","深度学习算法工程师","15k-30k","深圳 ","经验不限","本科及以上","全职","人工智能 | 机器学习 | 计算机视觉 | 模式识别","3天前  ","高速发展 、弹性工作、 周末双休，年终奖","岗位职责：","深圳-南山区-南头-金鸡路1号田厦翡翠明珠写字楼1808A","2018-08-13 17:15:54"
"欢聚时代（YY Inc）音视频算法中心","基于深度学习语音算法研发...","25k-50k","广州 ","经验3-5年","本科及以上","全职","语音处理","2018-08-09  ","互联网上市公司，平台大机会多","岗位职责:1、负责基于深度学习的语音合成、语音转换、语音增强等算法的研发；2、跟踪以及实现国内外基于深度学习的最新语音算法技术.","广州-番禺区-广州市番禺区南村镇万博二路万博商务区万达商业广场北区B-1栋","2018-08-13 17:15:58"
"邃蓝智能科技有限公司","深度学习算法工程师","15K-30K","上海 ","经验1-3年","硕士及以上","全职","医疗健康 | 人工智能 | 深度学习 | 算法","2018-08-08  ","大牛云集,成长空间大,行业资源优","职位描述：","上海-浦东新区-张江-广兰路","2018-08-13 17:16:04"
"深声科技实验室","深度学习算法工程师","15k-30k","广州 ","经验不限","硕士及以上","全职","机器学习 | 深度学习 | 算法","2018-08-08  ","弹性工作,上班不打卡,五险一金,有餐补","岗位职责： ","广州-天河区-棠下-棠东东路5号远洋创意园B222","2018-08-13 17:16:08"
"哈哈零兽AI部","深度学习图像算法专家/科学家","80k-100k","深圳 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习 | 图像处理 | 算法","14:02  ","创业公司,空间大","岗位职责：","深圳-南山区-大冲-桑达科技大厦601","2018-08-13 17:16:11"
"平安科技","深度学习语音算法工程师或...","15k-30k","深圳 ","经验不限","硕士及以上","全职","机器学习 | 深度学习 | 算法","10:24  ","世界50强,带薪年假,节日福利,绩效丰厚",,"深圳-福田区-八卦岭八卦三路平安大厦","2018-08-13 17:16:26"
"Aibee","深度学习平台工程师","20k-40k","北京 ","经验1-3年","本科及以上","全职","深度学习 | 架构师","2天前  ","初创公司,技术驱动","工作职责：","北京-海淀区-西北旺-上地三街金隅嘉华大厦B座1201","2018-08-13 17:16:29"
"美人信息软件技术部","深度学习算法工程师","12k-24k","广州 ","经验不限","硕士及以上","全职","深度学习 | 计算机视觉 | 图像处理 | 模式识别","2018-08-06  ","晋升空间大,扁平化管理,俊男美女多,产品前景好","岗位职责：","广州-越秀区-五羊新城-五羊新城寺右一马路18号泰恒大厦1308室","2018-08-13 17:16:32"
"哈哈零兽AI部","深度学习图像算法高级工程师","40k-80k","深圳 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习 | 算法","14:02  ","创业公司,空间大","岗位职责：","深圳-南山区-南油-海天一路19号深圳软件产业基地4栋A座1102","2018-08-13 17:16:37"
"OPPO","​深度学习平台工程师","15k-30k","深圳 ","经验不限","学历不限","全职","软件开发","2018-08-01  ","大平台 丰厚薪酬","岗位职责：1. 大规模深度学习平台建设与维护，支持深度学习网络模型训练。2. 在图像，语音识别等AI方向进行探索&价值落地。招聘要求：1、熟悉DNN、CNN、LSTM等神经网络模型，并掌握其原理。2、扎实的计算机基础，对算法和数据结构有深入应用经验。3、熟练掌握 python及C++或者JAVA两种及两种以上开发语言。4、熟悉常用深度学习开源框架，如MXNet、TensorFlow、Caffe，有较深入的源码研究和一定的实践经验。","深圳-南山区-卓越后海中心","2018-08-13 17:16:41"
"腾讯地图平台部","MIG16-自动驾驶深度学习(...","18k-36k","北京 ","经验1-3年","博士及以上","全职","地图 | 机器学习 | 深度学习 | 算法","11:11  ","大平台,新领域,大咖多",,"北京-海淀区-北京大学-第三极大厦","2018-08-13 17:16:47"
"名片全能王","算法工程师（深度学习）实习生","4k-6k","上海 ","经验应届毕业生","本科及以上","实习","大数据 | C++ | Python","09:13  ","大数据,人工智能,转正机会","工作职责:该岗位主要负责用深度学习方法进行自然场景的文字检测和文字识别研究，以及相关算法的工程产品化任职资格:1. 计算机，统计，数学，物理，信号处理相关专业硕士及以上，代码能力特别强可以放宽到本科。2. 熟练掌握c/c++,python，基本熟悉shell脚本，能熟练在linux平台下做代码编译，调试，开发。3. 熟悉CNN,RNN/LSTM等基本深度学习算法。熟悉常用深度学习框架Caffe/Mxnet/TF中的一种，最好是改各种框架代码的经验。4. 熟悉深度学习在图片分类，物体检测的常见框架思路，对近几年DL在图片分类，分割，物体检测的发展有较深的理解。5. 有CUDA编程经验是加分项。6. 有Computer Vision顶级会议论文是加分项。7. 熟悉常见机器学习算法是加分项。8. 有OCR项目经验，或者熟悉DL在OCR领域发展是加分项。9. 对机器学习，深度学习在CV的发展有浓烈的兴趣，面对挫败有积极的心态，勤奋好学。","上海-静安区-万荣路1256、1258号云立方A座11、12层","2018-08-13 17:16:50"
"北京飞澈科技有限公司","深度学习算法工程师","12k-24k","北京 ","经验应届毕业生","学历不限","全职","机器学习 | 深度学习 | 计算机视觉 | 图像处理","2018-08-04  ","海归团队,弹性工作","职位描述： 丰田投资的自动驾驶公司（本社位于东京）北京分公司招聘。创始人与成员主要由名古屋大学，东京工业大学等博士构成，有丰富论文发表经验和工程经验。致力于自动驾驶与ADAS技术落地应用。公司主要客户有丰田汽车，JVC，歌乐等。参见：www.ficha.jp 工作职责： 1    计算机视觉前沿研究及工程化包括但不限于如下方向：object detection and tracking，semantic segmentation，face recognition； 2    将深度学习算法应用于计算机视觉问题； 3    物体检测和识别的研究及算法原型开发； 4    物体检测跟踪分类算法的嵌入式优化（嵌入式平台ARM，DSP，FPGA）； 5    人体建模，跟踪以及行为识别研究；   岗位需求： 1    计算机科学或计算机工程相关专业本科／硕士／博士学位； 2    熟练C/C++/Python编程，熟练TensorFlow/Caffe/MXNet/Pytorch其中一种开发工具，能快速实现现有算法； 3    熟练计算机视觉领域深度学习模型，并有编写深度学习算法的丰富实践经验； ","北京-海淀区-中关村-立方庭","2018-08-13 17:16:54"
"道通智能航空视觉部","深度学习算法工程师","15k-30k","西安 ","经验不限","硕士及以上","全职","机器学习 | 深度学习 | 模式识别 | 算法","2018-08-03  ","绩效奖金,年终奖金,工作氛围好,技术大神","岗位职责：","西安-高新技术产业开发区-沣惠南路-摩尔中心","2018-08-13 17:16:58"
"小米云平台","深度学习算法研究员","20k-40k","北京 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | 算法","2018-07-31  ","餐补,班车,年终奖,股票期权","工作职责","北京-海淀区-西三旗-安宁庄东亮72号科利源大厦","2018-08-13 17:17:02"
"RokidR-Lab","深度学习算法工程师","15k-30k","杭州 ","经验1-3年","本科及以上","全职","人工智能 | 机器学习 | 计算机视觉 | 模式识别","2018-07-23  ","五险一金,股票期权,弹性工作,人工智能","岗位职责：","杭州-余杭区-西溪-西溪艺术集合村","2018-08-13 17:17:06"
"安德医智","深度学习算法工程","20k-35k","北京 ","经验3-5年","硕士及以上","全职","医疗健康 | 人工智能 | 深度学习 | 算法","2018-07-19  ","算法,人工智能,深度学习","岗位职责","北京-丰台区-国家神经系统疾病临床医学研究中心北京市神经外科研究所6层","2018-08-13 17:17:10"
"汽车之家大数据部","深度学习算法工程师","20k-35k","北京 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","2018-07-27  ","大平台,发展前景好,福利待遇好","工作职责:","北京-海淀区-中关村-丹棱街三号中国电子大厦B座10层","2018-08-13 17:17:15"
"WESTWELLlab西井科技深度学习研究院","深度学习算法研究员","13k-25k","上海 ","经验1-3年","学历不限","全职","机器学习 | 深度学习 | 算法","2018-07-31  ","公司环境好,福利好,晋升快,补贴多","岗位描述：","上海-长宁区-利西路102号1幢201","2018-08-13 17:17:19"
"金山云","深度学习工程师（图像、视频...","30k-40k","北京 ","经验1-3年","本科及以上","全职","视频 | 人工智能 | 深度学习 | 图像处理 | 算法","09:44  ","优秀团队,一日三餐,弹性工作,周末双休","职位描述：","北京-海淀区-西北旺-上地创新大厦","2018-08-13 17:17:22"
"医准智能算法组","深度学习算法实习生","3k-6k","北京 ","经验应届毕业生","本科及以上","实习","人工智能 | 计算机视觉 | 图像处理 | 模式识别","2天前  ","同牛人共事,发展空间大","负责深度学习及医疗影像的研发工作，拥有机器学习、计算机视觉、深度学习相关背景，对人工智能医疗影像有浓厚兴趣。","北京-海淀区-中关村鼎好大厦A座3层","2018-08-13 17:17:38"
"OPPO","深度学习平台工程师","20k-35k","深圳 ","经验不限","学历不限","全职","软件开发","2018-08-01  ","大平台 丰厚薪酬",,"深圳-南山区-卓越后海中心","2018-08-13 17:17:41"
"格灵深瞳算法部","深度学习平台开发工程师","15k-30k","北京 ","经验不限","本科及以上","全职","后端 | docker | Python | Golang","12:58  ","扁平化管理,不定期团建","岗位职责:","北京-海淀区-宝盛南路1号院奥北科技园","2018-08-13 17:17:44"
"美团点评外卖配送","深度学习算法专家（无人配送）","35k-50k","北京 ","经验5-10年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","11:08  ","技术大牛,无人驾驶","岗位职责：• 既要让自动驾驶更好的理解周围环境，又要挑战更多机器学习用于无人驾驶的可能","北京-朝阳区-望京-望京东路4号","2018-08-13 17:17:47"
"北京三星通信研究院机器学习lab","深度学习算法工程师","15k-30k","北京 ","经验应届毕业生","硕士及以上","全职","软件开发 | ERP","2018-07-17  ","牛人多,技术前沿","与深度学习资深专家合作，从事深度学习(DL)、增强现实(AR)、生成对抗网络(GAN)、深度增强学习(DRL)等方向的前沿技术研发。三星电子中国研究院机器学习LAB，在深度学习领域有顶尖的团队，有深厚的技术积累、丰富的数据和计算资源；其中在场景文字识别领域的国际评测ICDAR Robust Reading Competition多个竞赛任务中排名第一或第二。ICCV2017 PoseTrack Challenge排名第一； PASCAL VOC 2012 Semantic Segmentation Leaderboard排名第二等等   ","北京-朝阳区-太阳宫-太阳宫中路12A号太阳宫大厦18层（地铁十号线太阳宫站C出口300米）","2018-08-13 17:17:50"
"美图公司美图影像实验室","深度学习/计算机视觉专家（...","25k-50k","深圳 ","经验3-5年","博士及以上","全职","深度学习 | 计算机视觉","2018-07-26  ","股票期权,发展空间大,核心团队,上市公司","岗位职责:研究方向：深度学习（CNN, RNN）／计算机视觉／图像视频处理：如图像和视频的分类、检测、识别、编辑、分割、 重建、3D视觉、计算成像等工作职责:1.研究人工智能和计算机视觉领域最新进展，保持公司核心算法在工业界和学术界的领先2.带领团队，参与实验室研发决策的制定（包括算法研究方向、技术的产品化落地策略等）","深圳-南山区-深圳市南山区大冲商务中心A座","2018-08-13 17:17:53"
"平安医疗科技研究院","深度学习应用研究员（计算...","20k-40k","北京 ","经验1-3年","硕士及以上","全职","医疗健康 | 深度学习 | 图像处理 | 算法","2018-07-30  ","精英团队","职责描述：","北京-朝阳区-亮马桥-北京市朝阳区新源南路3号平安国际金融中心","2018-08-13 17:17:56"
"禾思研发部","深度学习算法工程师","15k-30k","深圳 ","经验1-3年","本科及以上","全职","机器学习 | 深度学习 | 算法","2018-07-26  ","双休,五险一金,团建,年终奖","工作职责:","深圳-南山区-科技生态园9A","2018-08-13 17:17:59"
"爱莫科技RD","深度学习算法工程师","20k-40k","深圳 ","经验1年以下","本科及以上","全职","人工智能 | 深度学习 | 新零售 | 汽车 | 计算机视觉 | 模式识别","2018-07-17  ","学术分享,海量数据,前沿技术","岗位职责：","深圳-南山区-深圳湾-科技南路17号深圳湾生态园三期10栋A座1102","2018-08-13 17:18:02"
"美团技术研发部","深度学习算法工程师","35K-50K","北京 ","经验3-5年","本科及以上","全职","机器学习 | 深度学习","2018-07-18  ","七险一金出国游餐补","工作职责：","北京-朝阳区-望京-望京","2018-08-13 17:18:09"
"滴滴出行智慧交通平台部","深度学习算法实习生","3k-6k","北京 ","经验应届毕业生","硕士及以上","实习","地图 | 视频 | 人工智能 | 深度学习 | 计算机视觉 | 图像处理","3天前  ","数据丰富,前沿课题,福利好,成长空间大","工作职责:","北京-海淀区-西北旺-西二旗文思海辉","2018-08-13 17:18:13"
"上海永麦研发部","深度学习算法专家","20k-40k","上海 ","经验3-5年","硕士及以上","全职","图像处理 | 算法","3天前  ","公司期权,精英团队,视频分析,图像处理","职位描述：","上海-浦东新区-张江-上海市浦东新区郭守敬路498号浦东软件园3号楼311室","2018-08-13 17:18:17"
,,,,,,,,,,,,"2018-08-13 17:18:19"
