"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"礼多多电子商务","电商运营专员（应届）","6k-9k","上海 ","经验不限","大专及以上","全职","电商 | 运营","17:52  ","接受应届生,知名品牌,执行力强","主要职责：","上海-长宁区-天山路-娄山关路55号新虹桥大厦18楼","2018-08-13 18:05:53"
"上海妙蛙研发","c#开发工程师","6k-12k","上海 ","经验不限","本科及以上","全职","后端 | 服务器端 | 客户端 | C#/.NET","17:52  ","无试用期,晋升空间大,五险一金,创业公司","职位描述：","上海-浦东新区-金海路2588号B201","2018-08-13 18:05:56"
"暗能量社会化营销","社会化营销助理","3k-6k","成都 ","经验不限","大专及以上","全职","互动营销 | 数字营销","17:52  ","自由高薪，持续增长","互联网和人工智能的飞速发展，加速了人们工作生活碎片化的进程，未来正迎面而来不可逆转猝不及防…… ","成都-高新区--天府五街","2018-08-13 18:06:00"
"茜子服饰品牌部","平面设计师（包装）","7k-9k","深圳 ","经验3-5年","本科及以上","全职","新零售 | 平面 | 创意 | 品牌 | 视觉","17:52  ","周末双休,五险一金,带薪年假,年终奖金","岗位职责：","深圳-福田区-金田路现代国际大厦1803-1808室","2018-08-13 18:06:14"
"上海妙蛙研发","unity开发工程师","6k-12k","上海 ","经验1-3年","本科及以上","全职","前端开发 | Unity3d | 移动端","17:52  ","五险一金,绩效奖金,14薪,全勤奖","工作职责：","上海-浦东新区-金海路2588号B201","2018-08-13 18:06:17"
"么么直播商务部","SEM经理","10k-20k","上海 ","经验3-5年","本科及以上","全职","渠道 | 推广 | 商务拓展 | APP推广","17:52  ","行业前景好,人性化管理,福利好","【岗位职责】1. 对百度、360、小米、华为等应用市场以及百度SEM、神马、搜狗等各大SEM熟悉，能够独立进行账户优化，知道账户的搭建等相关事宜，确保精准投放；2. 深入理解并建立投放模型，把控各环节转化效果、寻找突破点；3. 有较强的数据分析能力，负责对SEM投放数据进行分析并根据分析结果提出持续优化投放策略，提高投资回报率；4. 关注市场动态和竞争对手，并提出合理建议及应对措施；5. 定期和媒体沟通，了解其产品变化，并灵活应用到方案当中。【任职要求】","上海-闵行区-吴中路1369号欧银中心（十号线龙柏新村、九号线合川路）","2018-08-13 18:06:20"
"深圳量子云科技有限公司电商部","电商运营","7k-10k","深圳 ","经验1-3年","本科及以上","全职","活动策划 | 运营","17:52  ","公司实力强,晋升空间大,福利待遇优,行业领头人","岗位职责：","深圳-南山区-深圳湾-粤海街道卫星大厦706","2018-08-13 18:06:23"
"悠然一指运营部门","写手运营","4k-7k","武汉 ","经验不限","大专及以上","全职","运营 | 移动互联网","17:52  ","周末双休,五险一金","职位描述：","武汉-东湖新技术开发区-光谷-光谷国际广场B座25层","2018-08-13 18:06:26"
"倚天电商运营部","电商运营专员（小红书）","5k-8k","上海 ","经验1年以下","大专及以上","全职","运营","17:52  ","五险一金,带薪病假,员工旅游,年度体检","岗位职责：","上海-徐汇区-徐家汇-肇嘉浜路798号坤阳广场606室","2018-08-13 18:06:29"
"森强金融运营部","运营专员","6k-8k","北京 ","经验1-3年","大专及以上","全职","运营 | SEO","17:52  ","五险一金","岗位职责：","北京-丰台区-丰台区丰台北路18号院恒泰广场D座16层","2018-08-13 18:06:33"
