company,jobrequest,salary,tags,title
华瑞新智科技（北京）有限公司,"职位描述,1、构建NLP算法平台； ,2、对海量文本进行深度分析，抽取关键事件，情感分析，构建知识图谱；,3、学习NLP领域的先进技术并开展相关研发工作。,职位要求：,1、计算机／数学／统计学／模式识别相关专业，硕士以上学历；,2、熟悉NLP和机器学习的理论基础，2年以上NLP工作经验，有海量数据挖掘、知识图谱研发经验优先；,3、具有优秀的编程能力，熟悉C++/Python/Golang/PHP等一到多种常用编程语言；,4、在文本分析、词性标注、新词发现、词义消歧等领域有丰富经验优先；,5、责任心强，积极主动，有良好的沟通能力和团队合作能力；",1.5-3万/月,北京-海淀区  |  3-4年经验  |  本科  |  招若干人  |  08-10发布,NLP算法工程师-数据挖掘
优品财富管理股份有限公司,"岗位职责：,1.使用机器学习/深度学习技术对大量文本内容进行分析挖掘；,2.算法模型设计及实现。,任职要求：,1.优秀的编码与代码控制能力, 有扎实的数据结构和算法功底； ,2.良好的逻辑思维能力，能够从海量数据中发现关键特征； ,3.熟悉linux开发环境，思维细致，对数据分析有一定的兴趣； ,4.熟悉深度学习相关知识，有文本内容分析或内容推荐相关工作经验优先；,5.对tensorflow\caffe\mxnet等有过深入应用经验优先；,6.在校期间参加过程序设计/算法竞赛经验者优先。",1.2-2万/月,武汉-江夏区  |  2年经验  |  本科  |  招1人  |  08-10发布,NLP算法工程师
中新智擎科技有限公司,"1、硕士及以上学历，计算机、信息管理、新闻、数据分析相关专业；,2、参与并且负责过自然语言处理的项目，并且承担了相当部分的系统架构设计与技术方案；,3、熟练掌握中文分词、语法分析、语义分析与理解、问答对话等自然语言处理概念和算法，具备Deep Learning for NLP研究背景者优先；,4、热爱开发工作，学习能力强，具备优秀的逻辑思维能力，善于沟通交流。",1.5-2.5万/月,深圳-南山区  |  无工作经验  |  硕士  |  招2人  |  08-10发布,NLP工程师
苏州朗动网络科技有限公司,,1-2万/月,苏州  |  1年经验  |  本科  |  招若干人  |  08-09发布,NLP工程师
北京北大英华科技有限公司,"工作内容:,1.进行NLP领域前沿算法及框架追踪，搭建自然语言处理平台；,2.进行自然语言处理基础工具的开发、改进与应用，包括但不限于文本分类、命名实体识别、句法分析、信息抽取、知识库构建、主题词识别、自动摘要、智能问答、语义理解、对话生成、话题推荐等；,3.进行法律大数据智能业务的策略研发工作，将顶尖的人工智能算法应用到各种挑战性的现实场景。,任职资格:,1.大学本科以上学历，信息与计算科学、数据、自然语言处理（NLP）、深度学习、机器学习等相关专业；,2.至少2年以上自然语言处理工作经验，进行过如分词、句法分析、深度学习、神经网络、机器学习等相关项目的研发工作；,3.精通Java/python/C/C++编程中的一种或几种，熟悉常用算法及优化，拥有扎实的数学和编程功底；,4.熟悉常见的机器学习算法（逻辑回归、SVM、决策树、贝叶斯以及各种深度学习网络包括CNN、RNN、LSTM等）;,5.熟练使用TensorFlow/Theano/Caffe/Torch/MXNet等深度学习框架中的一种或多种；,6.熟悉NLP领域一些开源的算法库或工具，如：stanfordNLP、NLTK、Apache OpenNLP、Kaldi、HTK/HTS、hadoop、mahout、word2vec等；,7.具备优秀的分析解决问题能力、沟通能力和团队合作意识；,8.在深度学习国际***会议或者权威期刊上发表论文、相关国际比赛获奖、及有相关专利者优先。",1.5-3万/月,北京-海淀区  |  2年经验  |  本科  |  招1人  |  08-10发布  |  英语良好  |  软件工程 计算机科学与技术,NLP工程师
标贝（北京）科技有限公司,"岗位职责：,1. 自然语言处理及语义理解等相关技术研发；,2. 多语种文本处理技术研发；,岗位要求：,1. 统招本科学历，不算实习经验2年以上。,2. NLP、机器学习、计算机等相关专业；,3. 精通NLP领域的相关技术，对数据结构和算法设计有深刻的理解；,4. 熟练掌握C/C＋＋ 和脚本语言编程(如Shell, Python或Perl等)；         ,5. 优秀的分析问题和解决问题能力，对解决具有挑战性的问题充满激情；,6. 具有良好的沟通能力和团队合作精神；",2.5-3万/月,北京-海淀区  |  3-4年经验  |  本科  |  招2人  |  08-10发布,高级NLP研发工程师
魔方元科技,,2-4万/月,上海  |  1年经验  |  硕士  |  招1人  |  08-10发布,自然语言处理工程师（NLP）
南京硅基智能科技有限公司,1、负责相关自然语言处理、数据挖掘、相关文本检索、语义理解系统算法的研究工作；,3-6万/月,南京  |  无工作经验  |  硕士  |  招1人  |  08-10发布,NLP自然语言处理工程师
中国太平洋保险（集团）股份有限公司,,10-40万/年,上海-徐汇区  |  2年经验  |  本科  |  招若干人  |  08-10发布,NLP开发工程师
上海博加信息科技股份有限公司,,1.4-4万/月,上海  |  1年经验  |  硕士  |  招1人  |  08-10发布,NLP算法工程师
北京广而告之网讯传媒有限公司,"岗位职责：,1、负责NLP相关项目中的问题，设计解决方案，进行算法的实现及改进；,2、负责大规模机器学习建模和优化推荐服务，选择合理的算法提升推荐效果；,3、参与用户行为分析和挖掘，为算法和业务场景提供支持。,任职资格：,1、熟悉常用算法和数据结构，有很强的代码能力，至少熟悉python/java中的一种；,2、熟悉NLP常见的算法及模型，如语言模型，MaxEnt/CRF，pLSA/LDA，w2v，CNN/RNN；,3、有NLP系统开发经验，包括但不限于分词、词性标注、词义消歧、文本纠错、实体识别、句法分析、主题模型、话题分析、机器,     翻译、知识推理、知识图谱等自然语言处理相关领域。",2-4万/月,北京-西城区  |  2年经验  |  本科  |  招1人  |  08-14发布  |  计算机科学与技术,NLP算法高级工程师
中国金融在线-金融界,"工作职责：,1.基于大数据平台和大数据工具，结合业务数据，运用自然语言处理、机器学习等算法挖掘用户兴趣点和构建用户画像。,2.NLP标签体系的研发与优化。,3.参与财经资讯的特征提取，文本分类等任务,4.负责股票问答系统的语义分析和理解工作,5.基于用户行为特征构建推荐系统,职位要求：,1.计算机相关专业本科及以上学历,2.熟悉机器学习基础理论和常用算法，有相关项目经验优先,3.熟悉自然语言处理基础理论和常用算法，有文本分类/问答系统等相关项目经验者优先,4.熟练使用Python或java，熟练使用数据结构和常用算法，有较强的算法设计和实现能力,5.热爱股票/财经业务，有相关炒股经验最优,6. 良好的沟通能力，良好的团队合作精神",2.5-3.5万/月,北京  |  无工作经验  |  招1人  |  08-10发布,自然语言处理工程师(NLP)
北京华宇元典信息服务有限公司,"1）负责自然语言理解相关机器学习算法的研究和实现；,2）对挖掘相关实现与优化提供技术支持。,1）计算机相关专业，硕士或博士学历优先，有自然语言处理经验优先；,2）熟悉JAVA语言和数据结构，编码基本功扎实；,3）对数据挖掘和自然语言处理以及机器学习算法有深刻的了解；,4）熟悉Python语言，对各种自然语言处理的开源项目有所了解；,5）对新技术敏感、对待工作踏实有责任心，有比较强的学习能力；,6）有良好的沟通能力，外向，喜协作；,7）有参与过NLP相关竞赛，并取得名次者优先。",0.7-1.2万/月,北京-海淀区  |  无工作经验  |  本科  |  招5人  |  08-10发布,校-机器学习工程师（nlp方向）(职位编号：yuandian000375)
深圳市子鹿科技有限公司,,80-100万/年,深圳-福田区  |  5-7年经验  |  硕士  |  招2人  |  08-06发布,自然语言/NLP专家（AI Lab）
深圳碳云智能科技有限公司,,2.5-4.5万/月,深圳-南山区  |  无工作经验  |  本科  |  招若干人  |  08-07发布,NLP高级算法工程师
