company,jobrequest,salary,tags,title
杭州一知智能科技有限公司,"1、 负责公司语音识别技术的算法设计、模型训练与识别率优化；,2、 负责产品中语音识别模块的架构设计，保证在竞品中处于技术领先。,职位要求,1、计算机、信号处理等相关专业硕士以上学历，精通 C++和 Python ；,2、熟悉语音识别声学模型相关算法，对深度学习声学模型训练有深入实践，熟悉DNN/RNN/LSTM 等模型；,3、熟悉 Kaldi、TensorFlow 等工具。",30-50万/年,杭州-萧山区  |  3-4年经验  |  硕士  |  招2人  |  08-06发布,语音识别工程师
杭州海康威视数字技术股份有限公司,"工作职责：,1、 负责语音识别核心算法研发工作。 ,2、 培养语音识别技术团队，负责语音识别方向的前沿研究； ,3、 负责语音识别引擎的开发和产品化，对应用系统和方案提供建议。,岗位要求：,1、985高校、研究所或海外知名高校语音识别相关专业博士、优秀硕士； ,2、在语音识别领域有两年以上研究工作经验，从事过DNN、CNN、LSTM、CTC、语言模型或者解码器研发工作，搭建过实际的语音识别系统，熟练掌握相关语音识别开源工具。 ,3、对国内外语音识别领域的最近研究进展及发展趋势有较深入跟踪和掌握； ,4、有良好的团队合作精神，较强的沟通能力，优秀的分析和解决问题的能力； ,5、具备良好的团队领导能力，以及较高的自我驱动力。",25-60万/年,杭州-滨江区  |  2年经验  |  硕士  |  招若干人  |  08-06发布,研究院-算法工程师（语音识别）
北京智能管家科技有限公司,"岗位职责：,1、负责语音识别相关算法的研究与开发工作；,2、负责声学模型、语言模型训练的相关工作；,3、跟踪国内外语音识别技术的发展，保持技术先进性。,任职要求：,1、信号处理、计算机、自动化、模式识别等相关专业，本科以上学历；,2、精通C/C++，Python，Shell编程语言，对数据结构和算法设计有深刻理解；,3、熟悉语音识别和深度学习技术，包括GMM，HMM，DNN等；,                                    4、熟练掌握Kaldi，SRiLM，RNNLM，TensorFlow等社区开源工具中的一种及以上。",4-5万/月,北京-东城区  |  无工作经验  |  招5人  |  08-07发布,语音识别工程师
杭州中天微系统有限公司,"岗位职责：,1，负责人脸识别、指纹识别、语音识别等相关AI算法的应用开发；,2，负责AI算法模型到AI芯片映射部署；,3，负责AI边缘计算算法优化，对CPU、AI芯片、基础算法库提出优化需求。,任职要求： ,1，本科以上学历，有3年以上实际编码工程经验，精通c/c++、python、java等编程语言；,2，熟悉AI相关应用领域（图像识别，目标跟踪，人脸检测，语音识别，NLP等）；,3，熟悉深度学习网络框架，如VGG、resnet、faster-rcnn、ssd等；,4，熟悉AI算法训练框架，不限于tensorflow，caffe，pytorch等，了解其中backward，forward相关代码实现和优化部分优先；,5，具备嵌入式领域工作经验，具有算法的SIMD指令优化，FPGA实现者优先。",2.5-3万/月,杭州  |  无工作经验  |  招2人  |  08-14发布,深度学习AI算法工程师
北京捷通华声科技股份有限公司成都分公司,"1.带领团队负责公司公有云平台服务及手写识别、光学字符识别、语音合成、语音识别、智能客服等HCI人工智能技术产品的售前技术支持工作；,2.负责售前团队部门管理工作，建设售前队伍、执行对重点大客户的售前咨询活动，支撑销售工作；,3.能够把握人工智能行业发展方向，在产业互联网/消费互联网领域可以提供专家级支持；,4.通过对公司重点大客户业务需求的理解，不断深入挖掘大客户的潜在需求，快速设计和构造重点客户的解决方案；,5.详细分析客户的业务需求，结合公司的技术产品，为客户提供***的解决方案，引导客户对技术和产品的选择；,6.对产品线上的产品进行生命周期管理，监督产品改进，组织、指导新产品的相关培训。,任职资格：,1.学历要求：,  -毕业于211或985院校、统招本科及以上学历。,2.工作经验：,  -5年以上售前技术支持工作经验；,  -3年以上售前支持团队管理经验；,  -熟悉软件类产品应用或人工智能类产品整体实现过程；,  -有一定开发能力。,3.能力要求：,  -具备卓越的逻辑分析能力，思维清晰敏捷，较强的整理能力和归纳总结能力；,  -具备良好的团队管理能力，能够激发团队成员热情、自信与合作意识；,  -具有强烈的学习意愿，具备较好的学习能力、问题分析能力、以及问题解决能力；,  -良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的工作经验；,  -具有较强的写作能力和较好的客户沟通技巧，及较强的语言沟通能力，工作条理清楚；,  -具有良好的服务意识、职业素养，具备项目掌控能力。,4.素质要求：,  -工作踏实，态度积极，能够承受较大工作压力，能适应严格项目管理及公司的各项管理制度；,  -有很强的责任心，正直诚实，值得信赖、有冲劲，意志坚定。,5.优先考虑：,  -熟悉云计算、了解智能语音交互技术及应用，智能客服应用、CTI行业应用等HCI技术与应用产品，了解CTI、移动互联网、互联网、嵌入式平台等市场者优先。",1.5-2.5万/月,成都-高新区  |  5-7年经验  |  本科  |  招1人  |  08-14发布,售前技术支持总监
广发银行股份有限公司信用卡中心,,1.5-2.5万/月,广州  |  无工作经验  |  招若干人  |  08-14发布,语音技术专家
深圳多度智能科技有限公司,"岗位职责：,1、根据公司战略，负责机器人产品的方案规划、产品策划、需求分析、产品设计、实施；,2、根据市场预测、用户研究、竞品分析和运营需要，确定产品规划，进行需求管理，并制定产品版本计划；,3、与软硬件开发、测试团队协作，沟通评审产品需求、协调开发资源，跟踪产品迭代版本的开发测试进度，负责产品验收；,4、配合规划机器人产品的销售和推广工作,任职要求：,1、本科及以上学历，5年以上机器人或智能硬件产品的系统集成和产品实施相关经验，有使用AI语音识别、图像视觉识别等技术相关硬件产品或开发经验者优先；,2、熟悉互联网/移动互联网、机器人产品、智能硬件产品，能深刻理解用户需求；优秀的产品策划能力，能高效地输出产品策划方案、需求文档；,3、熟悉机器人产品或智能硬件产品的研发过程及供应链管控；至少完成两款软硬件结合产品从产品定义到上市销售的全流程；,4、了解行业前沿技术，重视产品的细节体验，对用户体验有很好的把握能力；,5、有创意、有激情，工作积极主动、认真负责，具有很强的执行力，能承受一定的压力，具有良好理解、沟通与协调能力。 ",1.5-2.5万/月,深圳-南山区  |  无工作经验  |  本科  |  招1人  |  08-14发布,智能硬件或机器人  产品经理
北京捷通华声科技股份有限公司西安分公司,"职位描述：,1.带领团队负责公司公有云平台服务及手写识别、光学字符识别、语音合成、语音识别、智能客服等HCI人工智能技术产品的售前技术支持工作；,2.负责售前团队部门管理工作，建设售前队伍、执行对重点大客户的售前咨询活动，支撑销售工作；,3.能够把握人工智能行业发展方向，在产业互联网/消费互联网领域可以提供专家级支持；,4.通过对公司重点大客户业务需求的理解，不断深入挖掘大客户的潜在需求，快速设计和构造重点客户的解决方案；,5.详细分析客户的业务需求，结合公司的技术产品，为客户提供***的解决方案，引导客户对技术和产品的选择；,6.对产品线上的产品进行生命周期管理，监督产品改进，组织、指导新产品的相关培训。,任职资格：,1.学历要求：,  -毕业于211或985院校、统招本科及以上学历。,2.工作经验：,  -5年以上售前技术支持工作经验；,  -3年以上售前支持团队管理经验；,  -熟悉软件类产品应用或人工智能类产品整体实现过程；,  -有一定开发能力。,3.能力要求：,  -具备卓越的逻辑分析能力，思维清晰敏捷，较强的整理能力和归纳总结能力；,  -具备良好的团队管理能力，能够激发团队成员热情、自信与合作意识；,  -具有强烈的学习意愿，具备较好的学习能力、问题分析能力、以及问题解决能力；,  -良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的工作经验；,  -具有较强的写作能力和较好的客户沟通技巧，及较强的语言沟通能力，工作条理清楚；,  -具有良好的服务意识、职业素养，具备项目掌控能力。,4.素质要求：,  -工作踏实，态度积极，能够承受较大工作压力，能适应严格项目管理及公司的各项管理制度；,  -有很强的责任心，正直诚实，值得信赖、有冲劲，意志坚定。,5.优先考虑：,  -熟悉云计算、了解智能语音交互技术及应用，智能客服应用、CTI行业应用等HCI技术与应用产品，了解CTI、移动互联网、互联网、嵌入式平台等市场者优先。",1.5-2.5万/月,西安  |  无工作经验  |  本科  |  招若干人  |  08-14发布,售前技术支持总监（西安）
北京中软万维网络技术有限公司,"岗位职责：,1、 协助电气工程师进行新建地铁自动售检票系统设备电气设计。,2、 协助电气工程师进行既有地铁线路自动售检票系统互联网改造方案设计。,3、 参与研发部门各专业之间及项目部门生产工厂之间沟通协调工作。,4、 负责既有地铁线路设计生产资料维护及相应的技术支持。,任职要求：,1、 具备模电、数电基础知识。,2、 具备C8051\STM32单片机程序编写能力,3、 具备良好的沟通协调能力。,4、 具备自动售检票、安防闸机、自助式服务设备设计经验优先,5、 二维码读卡器、人脸识别、语音识别、相关经验优先。,6、 应届毕业生优先。",5-8千/月,北京  |  1年经验  |  本科  |  招1人  |  08-14发布,初级电气工程师
南京拓控信息科技股份有限公司,,1-1.5万/月,南京  |  2年经验  |  硕士  |  招1人  |  08-14发布  |  计算机科学与技术 信息与计算科学,算法工程师
