金辉融侨城,337,万,25023,元/平米,4室2厅,中楼层,南,134.68平米,2012年建,相城,活力岛
石湖华城,189,万,21024,元/平米,2室2厅,低楼层,南 北,89.9平米,2011年建,吴中,越溪
越湖家天下,187,万,21250,元/平米,2室2厅,高楼层,南,88平米,2014年建,吴中,城南
龙湖狮山原著,575,万,40222,元/平米,4室2厅,低楼层,南,142.96平米,2018年建,高新,狮山
南亚花园,220,万,15625,元/平米,3室2厅,低楼层,南 北,140.8平米,2005年建,相城,元和
华润红橡世家,283,万,20809,元/平米,3室2厅,高楼层,南,136平米,2018年建,相城,元和
万科湖西玲珑,420,万,29824,元/平米,4室2厅,低楼层,南,140.83平米,2017年建,吴中,郭巷
保利独墅西岸,600,万,32086,元/平米,4室2厅,中楼层,南 北,187平米,2015年建,吴中,郭巷
世茂运河城瀚河苑,405,万,24553,元/平米,3室2厅,低楼层,南,164.95平米,2014年建,姑苏,沧浪新城
万达华府,290,万,23967,元/平米,3室2厅,中楼层,南,121平米,2016年建,吴中,城南
金辉融侨城,370,万,24026,元/平米,4室2厅,低楼层,南,154平米,2013年建,相城,活力岛
新康花园,315,万,15317,元/平米,6室3厅,高楼层,南,205.66平米,2001年建,姑苏,胥江
福星小区,302,万,23528,元/平米,3室2厅,中楼层,暂无数据,128.36平米,2007年建,姑苏,沧浪新城
富利广场,46,万,10455,元/平米,1室1厅,低楼层,暂无数据,44平米,2014年建,吴中,越溪
小石城6区香樟园,174,万,19551,元/平米,3室2厅,低楼层,南,89平米,2013年建,吴中,城南
朗诗太湖绿郡,325,万,22888,元/平米,4室2厅,低楼层,南 北,142平米,2016年建,吴江,松陵
欧风丽苑,170,万,19385,元/平米,2室1厅,低楼层,南,87.7平米,2009年建,相城,元和
世茂运河城尚运苑,510,万,27128,元/平米,3室2厅,低楼层,南 北,188平米,未知年建,姑苏,沧浪新城
万达华府,290,万,23655,元/平米,3室2厅,高楼层,南,122.6平米,2016年建,吴中,城南
万达广场(姑苏区),75,万,10136,元/平米,2室2厅,高楼层,北,74平米,2009年建,姑苏,平江新城
欧风丽苑,211,万,18840,元/平米,3室2厅,高楼层,东南,112平米,2009年建,相城,元和
香城花园一区,235,万,17166,元/平米,3室2厅,高楼层,南,136.9平米,2012年建,相城,元和
嘉和丽园,275,万,16507,元/平米,4室2厅,中楼层,南 北,166.6平米,2005年建,相城,元和
南山檀郡,230,万,26544,元/平米,3室2厅,中楼层,南,86.65平米,2013年建,相城,元和
湖滨花园(吴中区),210,万,16031,元/平米,3室2厅,低楼层,东北,131平米,2004年建,吴中,郭巷
合景峰汇九期,228,万,25334,元/平米,3室2厅,中楼层,南,90平米,2013年建,相城,活力岛
东港二村,274,万,29140,元/平米,3室2厅,中楼层,南,94.03平米,2005年建,工业园区,东环
金辉浅湾雅苑,228,万,19000,元/平米,3室2厅,低楼层,南 北,120平米,2016年建,高新,浒关
首开班芙春天花园,315,万,21774,元/平米,4室2厅,高楼层,南,144.67平米,2015年建,相城,活力岛
新港名墅花园,215,万,16703,元/平米,3室2厅,低楼层,西南,128.72平米,2007年建,高新,浒墅关经济技术开发区
首开玖珑花园,285,万,21143,元/平米,4室2厅,中楼层,南,134.8平米,2016年建,吴江,太湖新城（吴江）
金辉浅湾雅苑,255,万,18150,元/平米,4室2厅,低楼层,南,140.5平米,2016年建,高新,浒关
旭辉上河郡,185,万,20050,元/平米,3室2厅,中楼层,北,92.27平米,2012年建,高新,浒墅关经济技术开发区
石湖华城,253,万,19595,元/平米,3室2厅,中楼层,南 北,129.12平米,2011年建,吴中,越溪
阳光天地,345,万,25940,元/平米,4室2厅,低楼层,南,133平米,2017年建,吴中,尹山湖
中锐府上,379,万,26364,元/平米,4室2厅,低楼层,南,143.76平米,2017年建,姑苏,平江新城
合景峰汇八期,295,万,22349,元/平米,4室2厅,中楼层,南,132平米,2011年建,相城,活力岛
庄先湾6号,102,万,19586,元/平米,2室1厅,中楼层,南,52.08平米,1995年建,姑苏,苏州大学
香府绿洲,200,万,24391,元/平米,5室2厅,高楼层,南 东,82平米,2009年建,相城,元和
莫邪路散盘,255,万,19922,元/平米,3室2厅,低楼层,南,128平米,未知年建,姑苏,葑门
花好月圆,235,万,20819,元/平米,2室2厅,低楼层,南,112.88平米,2012年建,相城,元和
太阳星辰花园湖邑,485,万,36743,元/平米,4室2厅,中楼层,南,132平米,2010年建,工业园区,东沙湖
欧风丽苑,185,万,21126,元/平米,3室2厅,高楼层,东南,87.57平米,2009年建,相城,元和
中锐姑苏尚城,310,万,31131,元/平米,3室2厅,中楼层,南,99.58平米,2015年建,姑苏,平江新城
华辰嘉园北区,172,万,21141,元/平米,2室2厅,中楼层,南,81.36平米,2010年建,相城,活力岛
万科北宸之光,197,万,23191,元/平米,3室2厅,中楼层,南,84.95平米,2017年建,相城,活力岛
华亭梦立方,61,万,13864,元/平米,1室1厅,中楼层,东南,44平米,2015年建,吴中,郭巷
中海双湾花园一期,230,万,26137,元/平米,3室1厅,中楼层,南,88平米,2015年建,吴中,尹山湖
恒基旭辉城,290,万,24673,元/平米,4室2厅,低楼层,南,117.54平米,2017年建,高新,浒墅关经济技术开发区
菱塘新村一期,105,万,18357,元/平米,2室1厅,低楼层,南,57.2平米,1992年建,姑苏,金门
荷澜庭,675,万,47643,元/平米,3室2厅,低楼层,南,141.68平米,2016年建,高新,狮山
世茂石湖湾,255,万,20663,元/平米,3室2厅,低楼层,南,123.41平米,2015年建,吴中,城南
金地名悦,264,万,23572,元/平米,4室2厅,中楼层,南 北,112平米,2018年建,高新,狮山
中锐姑苏尚城,440,万,30986,元/平米,4室2厅,中楼层,南 北,142平米,2015年建,姑苏,平江新城
澳韵花园,305,万,35470,元/平米,2室2厅,低楼层,南 北,85.99平米,2010年建,工业园区,湖东CBD
东环新村,125,万,18806,元/平米,2室2厅,高楼层,东,66.47平米,1983年建,姑苏,娄门
澳韵花园,273,万,35603,元/平米,2室2厅,中楼层,南,76.68平米,2008年建,工业园区,湖东CBD
太阳星辰花园湖邑,448,万,31774,元/平米,3室2厅,中楼层,南 北,141平米,2010年建,工业园区,东沙湖
中吴红玺御园,278,万,19383,元/平米,4室2厅,低楼层,南 北,143.43平米,2016年建,高新,浒关
金辉融侨城,220,万,22681,元/平米,3室2厅,低楼层,南,97平米,2015年建,相城,活力岛
汇翠花园,222,万,16877,元/平米,4室2厅,高楼层,南 北,131.54平米,2005年建,姑苏,平江新城
石湖华城,216,万,20187,元/平米,3室2厅,高楼层,南,107平米,2011年建,吴中,越溪
嘉和丽园,168,万,18981,元/平米,2室2厅,中楼层,南,88.51平米,2005年建,相城,元和
中茵皇冠国际,1680,万,59364,元/平米,4室3厅,中楼层,南,283平米,2004年建,工业园区,湖西CBD
梅亭苑,145,万,18441,元/平米,2室2厅,中楼层,南,78.63平米,2004年建,姑苏,胥江
新创宝带熙岸,265,万,19024,元/平米,4室2厅,高楼层,南 北,139.3平米,2013年建,高新,横塘
都市花园西区,495,万,38516,元/平米,3室2厅,高楼层,南,128.52平米,2001年建,工业园区,湖西CBD
中海国际社区（三区）,580,万,39727,元/平米,4室2厅,中楼层,南,146平米,2013年建,工业园区,湖东
天地源七里香都,452,万,38966,元/平米,3室2厅,中楼层,南,116平米,2015年建,工业园区,湖东
伟业迎春丽家,155,万,17211,元/平米,3室2厅,低楼层,南,90.06平米,2015年建,吴江,太湖新城（吴江）
绿地华尔道,445,万,52970,元/平米,2室2厅,中楼层,南,84.01平米,2014年建,工业园区,白塘
恒基旭辉城,290,万,24673,元/平米,4室2厅,低楼层,南,117.54平米,2017年建,高新,浒墅关经济技术开发区
万科玲珑东区,510,万,47223,元/平米,3室2厅,高楼层,南,108平米,2015年建,工业园区,东沙湖
新港名仕花园,255,万,24758,元/平米,2室2厅,高楼层,南,103平米,2007年建,姑苏,胥江
石湖之韵,196,万,20883,元/平米,2室2厅,中楼层,南 北,93.86平米,2007年建,吴中,越溪
恒基旭辉城,195,万,21740,元/平米,3室1厅,中楼层,南,89.7平米,2017年建,高新,浒墅关经济技术开发区
嘉宝花园一期,252,万,22106,元/平米,3室2厅,高楼层,南,114平米,2000年建,吴中,苏苑
恒基水漾花城,188,万,21039,元/平米,2室2厅,低楼层,南,89.36平米,2017年建,相城,活力岛
理想家园,225,万,17046,元/平米,3室2厅,高楼层,南,132平米,2010年建,高新,浒墅关经济技术开发区
解放新村,113,万,19483,元/平米,3室1厅,高楼层,南,58平米,1995年建,姑苏,胥江
御苑家园B、C区,135,万,18688,元/平米,2室2厅,低楼层,南 北,72.24平米,2006年建,相城,活力岛
建屋海德公园,459,万,34512,元/平米,3室2厅,高楼层,南,133平米,2012年建,工业园区,独墅湖高教区
金色尚城,266,万,29888,元/平米,3室2厅,低楼层,南,89平米,2008年建,工业园区,斜塘
恒基水漾花城,250,万,19578,元/平米,3室2厅,低楼层,南 北,127.7平米,2012年建,相城,活力岛
朗诗东吴绿郡,460,万,31945,元/平米,4室2厅,中楼层,西,144平米,2015年建,吴中,城南
三元二村,82,万,16769,元/平米,1室1厅,高楼层,南,48.9平米,1992年建,姑苏,金门
欧风丽苑,166,万,20029,元/平米,2室2厅,低楼层,南 北,82.88平米,2009年建,相城,元和
尚景湾,219,万,19857,元/平米,3室2厅,高楼层,南 北,110.29平米,2015年建,相城,黄桥
华辰嘉园北区,205,万,24181,元/平米,5室2厅,高楼层,南,84.78平米,未知年建,相城,活力岛
宏葑四村,133,万,20446,元/平米,2室1厅,高楼层,南 北,65.05平米,1997年建,工业园区,东环
国香雅苑,180,万,18829,元/平米,2室2厅,高楼层,南,95.6平米,2010年建,吴中,郭巷
水岸清华瀚宫,584,万,22462,元/平米,4室2厅,低楼层,南,260平米,2015年建,吴中,城南
三元三村,125,万,17596,元/平米,2室1厅,中楼层,南,71.04平米,1998年建,姑苏,金门
韵动汇,258,万,22242,元/平米,3室2厅,高楼层,南,116平米,2005年建,工业园区,娄葑
恒基水漾花城,260,万,22794,元/平米,3室2厅,中楼层,南 北,114.07平米,2017年建,相城,活力岛
保利独墅西岸,430,万,30675,元/平米,4室2厅,高楼层,南,140.18平米,2015年建,吴中,郭巷
